code,title,units,prereqs,offered,corrupt
NE STUD R1A,Reading and Composition in Near Eastern Studies,4 Units, Satisfaction of the Entry Level Writing Requirement,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Fall 2017<br/>
Expository writing based on analysis of selected texts or literatures in translation or writings interpreting the material culture of the ancient Near or modern Middle East. Specific topics vary with instructor. R1A satisfies the first half of the Reading and Composition requirement, and R1B satisfies the second half.",0
NE STUD R1B,Reading and Composition in Near Eastern Studies,4 Units," Previously passed an R_A course with a letter grade of C- or better.<BR/>Previously passed an articulated R_A course with a letter grade of C- or better.<BR/>Score a 4 on the Advanced Placement Exam in English Literature and Composition.<BR/>Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition.<BR/>Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Expository writing based on analysis of selected texts or literatures in translation or writings interpreting the material culture of the ancient Near or modern Middle East. Specific topics vary with instructor. R1A satisfies the first half of the Reading and Composition requirement, and R1B satisfies the second half.",0
NE STUD 10,Introduction to the Near East,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The background and present status of the ethnic and religious groups in the Arab states, Turkey, Israel, and Iran.",0
NE STUD 15,Introduction to Near Eastern Art and Archaeology,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The ancient Near East (present-day Iran, Iraq, Syria, Jordan, Lebanon, Israel, and Turkey) is considered the cradle of civilization. Here in Mesopotamia and its neighboring regions, the first cities arose, writing was invented, armies forged the earliest empires, and complex religious beliefs were expressed in art and architecture. This course surveys the major archaeological sites and monuments from the earliest settlements to the conquest",0
NE STUD 18,Introduction to Ancient Egypt,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Fall 2017, Fall 2016<br/>
A general introduction to ancient Egypt, providing overview coverage of ancient Egyptian culture and society (history, art, religion, literature, language, social structure), Egyptian archaeology (pyramids, tombs, mummies, temples, cities, monuments, daily life), and the history and development of the modern discipline of Egyptology. Assumes no prior knowledge of subject. Almost all lectures are illustrated extensively by",0
NE STUD 24,Freshman Seminars,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester.",0
NE STUD 25,Ancient Babylonian Legends and Myths,3 Units,,"Terms offered: Spring 2016, Fall 2001, Fall 1996<br/>
Lectures on and readings of the Gilgamesh Epic, Creation and Flood Myths and other Mesopotamian literary texts in translation.",0
NE STUD C26,Introduction to Central Asia,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course will introduce the student not only to ancient and modern Central Asia, but also to the role played by the region in the shaping of the history of neighboring regions and regimes. The course will outline the history, languages, ethnicities, religions, and archaeology of the region and will acquaint the student with the historical foundations of some of the political, social and economic challenges for contemporary post-Soviet Central",0
NE STUD 39A,Freshmen & Sophomore Seminars,4 Units,,"Terms offered: Fall 2016<br/>
A freshmen and sophomore seminar course will be taught by NES faculty in Fall 2016.",0
NE STUD 39B,The Abrahamic Religions,3 Units,,"Terms offered: Spring 2018, Spring 2017<br/>
A freshmen and sophomore seminar course will be taught by NES faculty in Fall 2016.",0
NE STUD 101,Women and Gender in Ancient Egypt,4 Units, Near Eastern Studies 18 or equivalent,"Terms offered: Spring 2017, Spring 2015<br/>
Women have been ignored or marginalized in much of past scholarship on ancient Egypt despite their highly visible presence in and importance to ancient Egyptian society. This course examines the roles of women and gender in ancient Egyptian society and belief systems. It reviews sources of evidence and interpretive frameworks for understanding the public and private roles of women and the definition of gender in ancient Egypt. It also places the women",0
NE STUD 102A,Archaeology of Ancient Egypt,4 Units, 18 or equivalent or consent of instructor,"Terms offered: Fall 2016, Fall 2015, Fall 2013<br/>
Archaeological survey of historical eras, major monuments and sites of ancient Egypt from the Neolithic to end of the Old Kingdom/First Intermediate Period, incorporating methodological and theoretical issues and developments as relevant.",0
NE STUD 102B,Archaeology of Ancient Egypt,4 Units, 18 or equivalent or consent of instructor,"Terms offered: Spring 2017, Spring 2014, Spring 2013<br/>
Archaeological survey of historical eras, major monuments and sites of ancient Egypt from the First Intermediate Period/Middle Kingdom to the end of the New Kingdom, incorporating methodological and theoretical issues and developments as relevant.",0
NE STUD 103,Religion of Ancient Egypt,3 Units, 18 or consent of instructor,"Terms offered: Fall 2017, Summer 2012 First 6 Week Session, Summer 2011 First 6 Week Session<br/>
A survey of the religious beliefs of the ancient Egyptians, based primarily upon the written sources.",0
NE STUD C104,Babylonian Religion,3 Units,,"Terms offered: Spring 2017, Summer 2016 10 Week Session, Summer 2016 Second 6 Week Session, Summer 2015 Second 6 Week Session, Spring 2015<br/>
A survey of Babylonian religious beliefs and practices based on indigenous texts and monuments.",0
NE STUD 105A,Ancient Mesopotamian Documents and Literature,3 Units,,"Terms offered: Spring 2018, Fall 2016, Fall 2014<br/>
A representative survey of original 3rd-1st millennium Cuneiform texts in translation. The Sumerian religious and scholastic tradition; myths of creation, hymns, epics and early historical material.",0
NE STUD 108,Ancient Astronomy,4 Units,,"Terms offered: Fall 2017, Fall 2015, Fall 2014<br/>
The course focuses on ancient astronomy from Babylonia to the Greco-Roman world. Readings from primary texts, including Babylonian astronomical and astrological documents (MUL.APIN, Enuma Anu Enlil, etc.) and Greek treatises such as Geminos= Introduction to the Phenomena and Ptolemy's Almagest are used. Problems of the calendar and of planetary motion are of special interest. Two different approaches to celestial phenomena are covered, one from",0
NE STUD 109,Mesopotamian History,3 Units,,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Ancient Mesopotamian political, cultural, and economic history from the invention of script to the Persian conquest of Babylon will be presented in survey, and one topic will be selected for in-depth study.",0
NE STUD 113,"Gilgamesh: King, Hero, and God",4 Units,,"Terms offered: Fall 2017, Fall 2015, Spring 2014<br/>
The most famous of Babylonian heroes is Gilgamesh, King of Uruk. The Gilgamesh Epic, recorded on twelve tablets in cuneiform, follows him in his quest for fame and eternal life. In this course, we will read the Gilgamesh Epic as well as several earlier texts around the same character. Moreover, we will read additional ancient texts that elucidate one or another aspect of the Epic. We will follow the traditions around Gilgamesh and see how his",0
NE STUD 114,Digital Ancient Near East,3 Units,,"Terms offered: Spring 2018, Spring 2017<br/>
Today, much of the information we gather on any topic comes from Internet sources. Goal of this class is to increase students' skills in critically evaluating the scholarly value of information on the Ancient Near East that is to be found in web pages, e-journals, and online books. We will consider the goal and context of sources of information (touristic, commercial, scholarly, religious, etc.) and how this influences and filters the information provided.",0
NE STUD 126,Silk Road Art and Archaeology,3 Units,,"Terms offered: Spring 2018, Spring 2016, Spring 2015<br/>
The course will outline art and archaeology of the Silk Roads from the 5th century BCE to the 10th century CE. A number of specific sites located along the Silk Roads will be selected and explored in depth, as examples which reveal the manifold cultural currents along the trade routes. Special attention will be paid to the eclecticism in Silk Road cultures brought about by the movement of peoples and merchandise which facilitated the spread",0
NE STUD 129,Arts of Iran and Central Asia,4 Units,,"Terms offered: Spring 2017, Spring 2016, Fall 2015<br/>
This course focuses on the arts of the Iranian cultural environment from the mid-first Millennium BCE through the first Millennium CE. Geographically, it covers a region stretching east from modern Iran to Afghanistan, Uzbekistan and Tajikistan, and north towards the Central Asian steppes, the ancestral home of important ancient Iranian pastoral nomadic tribes. The course will, among others, explore the art and archaeology of the Achaemenids",0
NE STUD 135,Jewish Civilization I: The Biblical Period,4 Units,,"Terms offered: Spring 2018<br/>
Our understanding of the biblical period has been transformed in recent decades due to the rediscovery of Israel’s cultural context and the influence of literary and anthropological forms of interpretation. We will explore Israel’s culture from its inception through the Second Temple period, emphasizing the close readings of texts and the diversity of biblical worldviews.",0
NE STUD 140,Topics in Islamic Thought and Institutions,3 Units,,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Selected topics from Islamic intellectual history.",0
NE STUD 144,Sufism: The Mysticism of Islam,3 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
A general presentation of Sufism that, while not aiming at exhaustiveness, will seek to acquaint students with the place and function of Sufism in Islam; the main outlines of its history; doctrinal and ritual features; the relationship between Sufism and literature, especially poetry; the principal Sufi orders; leading figures in the elaboration of Sufism as a distinct mode of Islamic practice; and the great diversity of Sufism as reflected in",0
NE STUD 146,Islam,3 Units,,"Terms offered: Summer 2016 10 Week Session, Summer 2016 Second 6 Week Session, Summer 2015 Second 6 Week Session<br/>
A comprehensive and detailed introduction to the sources, doctrines, practices, and institutions of Islam, together with their historical development and elaboration in a select number of ethnic and geographic environments and an overview of Islam in the world today.",0
NE STUD 146A,Islam,3 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Fall 2017, Summer 2017 Second 6 Week Session<br/>
A comprehensive and detailed introduction to the sources, doctrines, practices, and institutions of Islam, together with their historical development and elaboration in a select number of ethnic and geographic environments and an overview of Islam in the world today.",0
NE STUD 146B,Islam,3 Units,,"Terms offered: Spring 2017, Spring 2014, Spring 2013<br/>
A comprehensive and detailed introduction to the sources, doctrines, practices, and institutions of Islam, together with their historical development and elaboration in a select number of ethnic and geographic environments and an overview of Islam in the world today.",0
NE STUD 150B,Arabic Literature in Translation,3 Units,,"Terms offered: Spring 2018, Spring 2017<br/>
No knowledge of Arabic is required. Survey of Arabic literature in its development from the post-Abbasid period to the present.",0
NE STUD 152,Cultural Encounters in Modern Arabic Literature,3 Units,,"Terms offered: Spring 2018, Fall 2002, Fall 2001<br/>
This course is organized around two broad but inter-related issues: the quest for identity and the representation of the ""other"" in modern Arabic literature. Central to both concerns is the treatment of colonialism, nationalism, and gender in modern Arabic literature and Arab culture in general.",0
NE STUD 162B,History of Persian Literature,4 Units,,"Terms offered: Spring 2017, Spring 2011, Spring 2009<br/>
These courses offer a comprehensive introduction to the main currents in Persian literature from the 10th century to the contemporary period. They introduce students to various genres, period styles, and crucial formal and thematic elements necessary to the understanding of Persian literature. While 162A deals with classical Persian literature, 162B deals with Persian literature since the advent of modernity in Persian-speaking lands, namely",0
NE STUD 165,Film and Fiction of Iran,4 Units, Upper division status,"Terms offered: Summer 2018 First 6 Week Session, Spring 2017, Spring 2016<br/>
Introduces students to major themes in modern Iranian literature and cinema. Short story readings and discussions provide an analytical framework of the screening of films covering diverse topics of significance in Iran today. All films have English subtitles; lectures and readings are in English. No prior history of Iranian history or literature is required.",0
NE STUD 175,History and Culture of Afghanistan,3 Units,,"Terms offered: Spring 2018, Spring 2012, Fall 2008<br/>
This course will discuss Afghanistan from ancient times to the present, including the emergence of Afghanistan as a modern nation-state and its geo-strategic importance. The Soviet invasion and aftermath will be emphasized, along with issues of state and society, ethnic diversity and tribal structure, challenges of modernization, and nationalism and political identity. The role of religion and mystical orders and the role of art, music, and",0
NE STUD 180,The Quran and Its Interpretation,3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2015<br/>
The course introduces students to Quran and to methods of its interpretation, as adopted in the exegetical (tafsir) literature. In addition to being exposed to secondary academic literature on the Quran and its exegesis, students will be offered a high dose of primary exegetical texts in translation. Passages from a number of periods and denominations will be selected, so that students may develop an appreciation of the interpretive range",0
NE STUD C188,"Magic, Religion, and Science: The Ancient and Medieval Worlds",4 Units,,"Terms offered: Spring 2018, Spring 2016<br/>
This course will explore magic as an experimental science within the learned traditions of civilizations that we consider as fundamental for a modern Western identity: from ancient Mesopotamia, Egypt, Greece and Rome to the medieval and early modern Middle East, Byzantium, and Europe. The primary sources used for this exploration will be texts on demons, magic, divination, and the sophisticated philosophical background to such beliefs. In addition, archeological",0
NE STUD 190A,Special Topics in Fields of Near Eastern Studies: Ancient Near Eastern Studies,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Topics explore themes and problems in the various fields of Near Eastern studies. They often reflect the research interests of the instructor and supplement regular curricular offerings. Specific descriptions of current offerings in this series are available through the department.",0
NE STUD 190B,Special Topics in Fields of Near Eastern Studies: Egyptian Studies,4 Units,,"Terms offered: Spring 2016, Fall 2003<br/>
Topics explore themes and problems in the various fields of Near Eastern studies. They often reflect the research interests of the instructor and supplement regular curricular offerings. Specific descriptions of current offerings in this series are available through the department.",0
NE STUD 190E,Special Topics in Fields of Near Eastern Studies: Arabic,4 Units,,"Terms offered: Fall 2017, Spring 2016, Spring 2009<br/>
Topics explore themes and problems in the various fields of Near Eastern studies. They often reflect the research interests of the instructor and supplement regular curricular offerings. Specific descriptions of current offerings in this series are available through the department.",0
NE STUD 190H,Special Topics in Fields of Near Eastern Studies: Hebrew,4 Units,,"Terms offered: Spring 2017, Fall 2013, Spring 2013<br/>
Topics explore themes and problems in the various fields of Near Eastern studies. They often reflect the research interests of the instructor and supplement regular curricular offerings. Specific descriptions of current offerings in this series are available through the department.",0
NE STUD H195,Senior Honors,2 - 4 Units, Limited to senior honors candidates,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Directed study centered upon preparation of an honors thesis.",0
NE STUD 198,Directed Group Study for Upper Division Students,1 - 4 Units,,"Terms offered: Spring 2016, Spring 2010, Fall 2006<br/>
Instruction in areas not covered by regularly scheduled courses: Phoenician, Cypriote, Syrian Archaeology.",0
NE STUD 199,Supervised Independent Study and Research,1 - 4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Enrollment is restricted by regulations shown in the",0
NE STUD 200,Graduate Proseminar,1 Unit,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Introduction to the academic profession of Near Eastern studies. This course will survey the various disciplines and subfields contained under this rubric, including their developmental histories, methodologies, and primary and secondary data sources. Enrollment in this course is required of all graduate students during their first year of study.",0
NE STUD 290A,Special Studies: Near Eastern Studies,1 - 5 Units, Consent of instructor,"Terms offered: Spring 2017, Fall 2016, Fall 2015<br/>
Students may enroll in more than one section of 290, but the total number of units of Special Study in any one semester may not exceed 12.",0
NE STUD 290B,Special Studies: Arabic,1 - 5 Units, Consent of instructor,"Terms offered: Spring 2017, Fall 2016, Spring 2016<br/>
Students may enroll in more than one section of 290, but the total number of units of Special Study in any one semester may not exceed 12.",0
NE STUD 290C,Special Studies: Cuneiform,1 - 5 Units, Consent of instructor,"Terms offered: Spring 2017, Fall 2016, Spring 2011<br/>
Students may enroll in more than one section of 290, but the total number of units of Special Study in any one semester may not exceed 12.",0
NE STUD 290D,Special Studies: Egyptian,1 - 5 Units, Consent of instructor,"Terms offered: Spring 2017, Fall 2016, Summer 2007 8 Week Session<br/>
Students may enroll in more than one section of 290, but the total number of units of Special Study in any one semester may not exceed 12.",0
NE STUD 290E,Special Studies: Hebrew,1 - 5 Units, Consent of instructor,"Terms offered: Spring 2017, Fall 2016, Spring 2014<br/>
Students may enroll in more than one section of 290, but the total number of units of Special Study in any one semester may not exceed 12.",0
NE STUD 290F,Special Studies: Persian,1 - 5 Units, Consent of instructor,"Terms offered: Spring 2017, Fall 2016, Spring 2007<br/>
Students may enroll in more than one section of 290, but the total number of units of Special Study in any one semester may not exceed 12.",0
NE STUD 290G,Special Studies: Semitics,1 - 5 Units, Consent of instructor,"Terms offered: Fall 2016, Fall 2003<br/>
Students may enroll in more than one section of 290, but the total number of units of Special Study in any one semester may not exceed 12.",0
NE STUD 290H,Special Studies: Turkish,1 - 5 Units, Consent of instructor,"Terms offered: Fall 2016, Spring 2006, Spring 2004<br/>
Students may enroll in more than one section of 290, but the total number of units of Special Study in any one semester may not exceed 12.",0
NE STUD 291,Dissertation Writing Workshop,4 Units," Advancement to candidacy, limited to students engaged in research for and writing of the doctoral dissertation","Terms offered: Fall 2017, Spring 2017, Spring 2016<br/>
A faculty member will oversee the group, offering guidance and making sure guidelines are followed. Students will manage the group's day-to-day operations. At least one week before each meeting a student will pre-circulate a draft of a chapter. During the meeting, students will give feedback on the draft. This feedback will be used to revise the chapter, which will be due at the end of the semester. The workshop is open to graduate students",0
NE STUD 296,Topics in Egyptian Art and Archaeology,2 or 4 Units, 102A-102B or 106A-106B or consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Changing topics involving ancient Egyptian art and archaeology. Focus may be regional, chronological, methodological, and/or thematic.",0
NE STUD 297,Topics in Ancient Ceramics of Egypt and the Levant,2 or 4 Units," 102AB, 124AB or the equivalent; Consent of instructor","Terms offered: Fall 2016, Spring 2009, Spring 2006<br/>
Changing topics in the study of ancient ceramics, stressing the relationship between pottery on the one hand, and archaeological practice and research in Egypt and/or the Levant on the other hand. Emphasis is placed on the relationship between pottery and broader issues involving the history and culture of these regions. Where appropriate, extensive use is made of slides and ""hands-on"" experience with available ceramic collections",0
NE STUD 298,Seminar,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2017, Fall 2016, Spring 2016<br/>
Special topics in Near Eastern Studies. Topics vary and are announced at the beginning of each semester.",0
NE STUD 299,Dissertation Research and Writing,3 - 12 Units," Advancement to candidacy, limited to students engaged in research for and writing of the doctoral dissertation","Terms offered: Spring 2017, Fall 2016, Fall 2015<br/>
All students advanced to candidacy must enroll in 299 every semester in which they are registered. When in residence, students are required to meet with their primary dissertation advisor at least twice a semester. Students not in residence should communicate either by phone or email with their advisor at least twice a semester. Semester grade will be based on written work turned in to the instructor to consist of at least one draft chapter of",0
NE STUD 601,Individual Studies for Master's Students,1 - 8 Units,,"Terms offered: Spring 2017, Fall 2016, Spring 2009<br/>
Individual study for the comprehensive or language requirements in consultation with the graduate adviser. Units may not be used to meet either unit or residence requirements for a master's degree.",0
NE STUD 602,Individual Study for Doctoral Students,1 - 8 Units,,"Terms offered: Spring 2017, Fall 2016, Summer 2007 8 Week Session<br/>
Individual study in consultation with the major field adviser, intended to provide an opportunity for qualified students to prepare themselves for the various examinations required of candidates for the Ph.D. May not be used for unit or residence requirements for the doctoral degree.",0
