code,title,units,prereqs,offered,corrupt
COM LIT R1A,English Composition in Connection with the Reading of World Literature,4 Units, UC Entry Level Writing Requirement or UC Analytical Writing Placement Exam. 1A or equivalent is prerequisite to 1B,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Expository writing based on analysis of selected masterpieces of ancient and modern literature. R1A satisfies the first half of the Reading and Composition requirement, and R1B satisfies the second half.",0
COM LIT R1B,English Composition in Connection with the Reading of World Literature,4 Units, UC Entry Level Writing Requirement or UC Analytical Writing Placement Exam. 1A or equivalent is prerequisite to 1B,"Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Fall 2017<br/>
Expository writing based on analysis of selected masterpieces of ancient and modern literature. R1A satisfies the first half of the Reading and Composition requirement, and R1B satisfies the second half.",0
COM LIT 20,Episodes in Literary Cultures,4 Units, Completion of a 1A course or its equivalent is recommended but not required,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
An introductory level exploration of a specific author, work, theme or literary movement in an international context. Emphasis on the ways in which literature has played (and continues to play) a crucial role in the relationship between different cultures, traditions, and languages. Readings and topics to vary from semester to semester.",0
COM LIT 24,Freshman Seminar,1 Unit,,"Terms offered: Spring 2017, Fall 2014, Fall 2013<br/>
The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments and topics vary from department to department and semester to semester. Enrollment limited to fifteen freshmen.",0
COM LIT 41E,Introduction to Literary Forms: Forms of the Cinema,4 Units,,"Terms offered: Fall 2017, Summer 2009 10 Week Session, Summer 2009 Second 6 Week Session<br/>
Comparative study of masterpieces of world literature.",0
COM LIT 50,Creative Writing in Comparative Literature,3 Units,,"Terms offered: Fall 2017, Spring 2017, Spring 2008<br/>
A creative writing workshop for students who wish to study the theory and practice of writing as they work in a variety of forms and media.",0
COM LIT 60AC,Topics in the Literature of American Cultures,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Study of the ethnic diversity of American literature. Topics will vary from semester to semester, but may include such themes as Cultures of the City, Gender, Race, Ethnicity in U.S. Literature, Race and Identity. Students should consult the department's course bulletin well before the beginning of the semester for details.",0
COM LIT N60AC,Topics in the Literature of American Cultures,3 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
Study of the ethnic diversity of American literature. Topics will vary from summer to summer but may include such themes as gender, race, ethnicity, marriage, sexuality, identity, and the supernatural. Students should check the department's bulletin boards for summer course listings and further details.",0
COM LIT W60AC,Topics in the Literature of American Cultures,4 Units,,"Terms offered: Summer 2018 8 Week Session<br/>
Study of the ethnic diversity of American literature. Topics will vary from semester to semester, but may include such themes as Cultures of the City, Gender, Race, Ethnicity in U.S. Literature, Race and Identity. Students should consult the department's course bulletin well before the beginning of the semester for details.<br/>
<br/>",0
COM LIT 98,Directed Group Study for Freshmen and Sophomores,1 - 4 Units, Lower division standing,"Terms offered: Spring 2017, Spring 2016, Spring 2014<br/>
Group study in a field that may not coincide with that of any regular course and must be specific enough to enable students to write essays based upon their studies.",0
COM LIT 100,Introduction to Comparative Literature,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
An introduction to problems of the comparative study of literature and culture. Emphasis on principles of comparative methods and analysis with focus on selected literary, critical, and theoretical texts from antiquity to the present. Readings in English.",0
COM LIT 112A,Modern Greek Language,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This is a course of beginning Modern Greek involving speaking, reading and writing. Modern Greek pronunciation, vocabulary, grammar and syntax is studied. In this course there is also an emphasis in practice of oral language skills.",0
COM LIT 112B,Modern Greek Composition,4 Units, Comparative Literature 112A or consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Modern Greek pronunciation, vocabulary, grammar and syntax studied. The forms of writing (prose, poetry, drama) are studied through literary texts as auxiliary to the acquisition of compositional skills.",0
COM LIT 151,The Ancient Mediterranean World,4 Units," Upper division standing or consent of instructor. Graduate students who wish to take this course are required to go back to the original Hebrew, Greek, or Latin texts","Terms offered: Spring 2017, Fall 2013, Spring 2012<br/>
The literature of Greece, Rome, the Biblical lands, and other ancient civilizations of the Mediterranean basin.",0
COM LIT 152,The Middle Ages,4 Units, Upper division standing or consent of instructor. Graduate students wishing to enroll must know at least one foreign language relevant to the materials studied,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
The literature of the Middle Ages.",0
COM LIT 153,The Renaissance,4 Units, Upper division standing or permission of the instructor. Graduate students wishing to enroll must know at least one foreign language relevant to the materials studied,"Terms offered: Fall 2017, Fall 2015, Spring 2013<br/>
European literature of the Renaissance.",0
COM LIT 155,The Modern Period,4 Units, Upper division standing or permission of the instructor. Graduate students wishing to enroll must know at least one foreign language relevant to the materials studied,"Terms offered: Fall 2017, Fall 2016, Fall 2014<br/>
Literature of the 19th and 20th centuries.",0
COM LIT 165,Myth and Literature,4 Units,,"Terms offered: Spring 2017, Spring 2015, Fall 2012<br/>
Study of the earliest myth texts and of the progressive growth of literature out of myth to the present day. Myth and oral composition. Emphasis on the meanings of myth as reflected in varying idioms.",0
COM LIT 170,Special Topics in Comparative Literature,1 - 4 Units,,"Terms offered: Spring 2016, Spring 2015, Fall 2014<br/>
An independent studies course designed to fulfill a need intrinsic to the undergraduate major's program which cannot otherwise be satisfied because it involves either a literature not covered in regularly scheduled course offerings or a special methodological framework or bias of selection.",0
COM LIT 171,Topics in Modern Greek Literature,4 Units, Completion of a Modern Greek 112B or consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course frames methodologically selected topics in Modern Greek Literature and places them in their historical, social or cultural context.",0
COM LIT 190,Senior Seminar in Comparative Literature,4 Units, Senior standing; 100 and one course from the 151-160 series (the latter may be taken concurrently),"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
Seminar-style treatment of a major topic in Comparative Literature. Substantial paper required.",0
COM LIT H195,Honors Course,1 - 4 Units," Honors standing, 8 units in upper division literature courses, including 100 or the equivalent, and knowledge of a vernacular language or a classical language","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Preparation and writing of an honors thesis under the supervision of a member of the faculty.",0
